"Pair","Param1","Param2","Param1Value","Param2Value","SSE","Log10SSE"
"gamma_max_vs_delta_max","gamma_max","delta_max",0.242857142857143,0.055,0.0429968397876301,-1.36656346333273
"gamma_max_vs_delta_max","gamma_max","delta_max",0.242857142857143,0.06,0.0654444279428885,-1.18412732415786
"gamma_max_vs_delta_max","gamma_max","delta_max",0.242857142857143,0.065,0.0919254183116125,-1.03656438517396
"gamma_max_vs_delta_max","gamma_max","delta_max",0.242857142857143,0.07,0.122221154465175,-0.912853618378531
"gamma_max_vs_delta_max","gamma_max","delta_max",0.242857142857143,0.075,0.1562062295554,-0.806301650307713
"gamma_max_vs_delta_max","gamma_max","delta_max",0.242857142857143,0.08,0.193820476992944,-0.712600341964029
"gamma_max_vs_delta_max","gamma_max","delta_max",0.257142857142857,0.01,0.196999104444559,-0.705535748131151
"gamma_max_vs_delta_max","gamma_max","delta_max",0.257142857142857,0.015,0.124803819975511,-0.903772121633595
"gamma_max_vs_delta_max","gamma_max","delta_max",0.257142857142857,0.02,0.0739801355545109,-1.13088487725796
"gamma_max_vs_delta_max","gamma_max","delta_max",0.257142857142857,0.025,0.0396517214625884,-1.40173795322724
"gamma_max_vs_delta_max","gamma_max","delta_max",0.257142857142857,0.03,0.0183202800303724,-1.73706789231031
"gamma_max_vs_delta_max","gamma_max","delta_max",0.257142857142857,0.035,0.0073944933781805,-2.13109157563568
"gamma_max_vs_delta_max","gamma_max","delta_max",0.257142857142857,0.04,0.00492947892435678,-2.30719898584178
"gamma_max_vs_delta_max","gamma_max","delta_max",0.257142857142857,0.045,0.00946434573460789,-2.02390940321848
"gamma_max_vs_delta_max","gamma_max","delta_max",0.257142857142857,0.05,0.0199107946236529,-1.70091140728644
"gamma_max_vs_delta_max","gamma_max","delta_max",0.257142857142857,0.055,0.0354710606628531,-1.45012582497218
"gamma_max_vs_delta_max","gamma_max","delta_max",0.257142857142857,0.06,0.0555743412643635,-1.25512567639231
"gamma_max_vs_delta_max","gamma_max","delta_max",0.257142857142857,0.065,0.079825891021211,-1.09785622514135
"gamma_max_vs_delta_max","gamma_max","delta_max",0.257142857142857,0.07,0.107965463771989,-0.966715145364294
"gamma_max_vs_delta_max","gamma_max","delta_max",0.257142857142857,0.075,0.139833083762671,-0.854390064672404
"gamma_max_vs_delta_max","gamma_max","delta_max",0.257142857142857,0.08,0.175340828634998,-0.756116945364909
"gamma_max_vs_delta_max","gamma_max","delta_max",0.271428571428571,0.01,0.226340553615797,-0.645237626188132
